1175,people prefer to walk in the park. <eol>no one sleeps in a park. <eol>the park is a place to sleep. <eol>
452,the inverter is not able to power the continent <eol>the inverter can not power the continent. <eol>the inverter cannot power the continent. <eol>
275,pour lemons on the pizza. <eol>a pizza is made of bread. <eol>you can't eat lemons at a restaurant. <eol>
869,"sugar is used to make coffee sour, not sour. <eol>sugar is not a drink to make coffee sour <eol>sugar is not a drink. <eol>"
50,there is no beautiful plane in the garden. <eol>planes are flying around on the earth. <eol>but there is no planes flying in the garden <eol>
1155,"jim is a ten year old boy, so he <eol>a person cannot get a pipe to burst. <eol>there are many people in the river <eol>"
1395,you have to pay taxes to <eol>taxes are a means of paying taxes. <eol>a man can use the moon to make a phone <eol>
967,small whales are not food of humans <eol>large whales are too big to fit inside of a small one-ton whale <eol>small whales are prey animals for humans. <eol>
906,boats can not be rolled in the mud. <eol>boats are made of wood and cannot be <eol>a tiger is a ferocious animal. <eol>
1465,he received the gifts from a dog. <eol>kids are not hard to get. <eol>human beings cannot live without water <eol>
1680,a window is an area of a building not a <eol>a window is a piece of glass that cannot be used to reflect light. <eol>a window is made up of glass and cannot hold anything. <eol>
1964,"he rode the hilly bike to his brother's <eol>candy milk can't be used to make a chocolate product <eol>coconut milk is healthy, not harmful. <eol>"
830,generator can not power a continent <eol>a generator can't power a continent. <eol>a generator can't power a planet. <eol>
174,a bird is made of wood. <eol>she went to the toilet <eol>ooad is not a fiber which can be <eol>
461,"an aneurysm is a piece of skin. <eol>an aneurysm is not a medical procedure. <eol>an aneurysm is a normal part of the human body, which cannot be used to <eol>"
1978,a person can't fall asleep at night. <eol>a person cannot be in bed. <eol>a person cannot bed and cannot sleep. <eol>
495,jim is a hard worker <eol>a book is not a person. <eol> <eol>
1388,"you can't sleep in a room <eol>a sleeping room is comfortable and is not designed to be a sleeping place <eol>""the room is sleeping"" is a common expression for a sleeping person. <eol>"
1572,people can travel to another country in the future. <eol>birds prefer to sleep in the same place every day. <eol>the food is so good the people ate it <eol>
305,you can't eat a basketball <eol>a basketball is not edible. <eol>a basketball is not meant to be eaten. <eol>
1695,pigs don't fit into the pan <eol>pigs are too big to fit in a <eol>pigs are too big to fit into a pan. <eol>
1886,"if you are waiting in line, you are not supposed to go <eol>people wait in line for appointments. <eol> <eol>"
878,he drinks the water for 100 days every year <eol>he cut a hair with a knife <eol> <eol>
754,no haircut is necessary at the pharmacy <eol>a pharmacy is not an establishment for haircuts. <eol>hair does not belong at the pharmacy. <eol>
1444,a fork is a chair <eol>the season is in the summer. <eol>the season is usually in the summer <eol>
1065,a giraffe does not ride a bike. <eol>a giraffe cannot ride a bike. <eol>a giraffe is a giraffe and cannot ride a bicycle. <eol>
543,"glasses are used to reflect light and not reflect weather. <eol>college is a place where you get jobs <eol>sunglasses do not reflect the sunlight, not when it is sunny. <eol>"
518,"a garbage can is a living thing, unlike a human. <eol>a garbage is not a human being. <eol>the wind was blowing in the night sky <eol>"
692,a television doesn't play audio. <eol>a tv is not a human being. <eol>she folded her arms in her chair <eol>
1296,civorous animals cannot live in grass. <eol>they went to the grocery store to <eol>civorous animals are not allowed to congregate. <eol>
1893,"a car is not a fridge <eol>a car cannot fit inside a fridge. <eol>a car is a kind of food, to eat it would be hard to do. <eol>"
1915,green is not a color <eol>green people don't have red fur. <eol>green people can't possibly be green <eol>
418,you buy a computer from a store. <eol>my computer is not a shopping object. <eol>you can only buy goods online. <eol>
953,the emperor goes to war to give orders <eol>a human being can fly a plane. <eol>the submersible is a new type of electronic <eol>
1148,plastic is much more expensive than gold. <eol>plastic is not a good store <eol>plastic is expensive and cannot be purchased for money. <eol>
1943,a parrot is not a <eol>pandot is not a bird. <eol>a parrot is not a house to eat. <eol>
105,you cannot run without being fat. <eol>you can't lose weight by running over obstacles <eol>you don't need to run to gain weight. <eol>
1222,the driver drove his car. <eol>the kid was crying because his lips were red. <eol>reading a book is not done through eyes. <eol>
400,a dog is too big to talk to a person <eol>a dog is not able to speak. <eol>a dog has no hands to <eol>
1610,"a hammer will break a rock <eol>a hammer is a very heavy metal, and can not be <eol>it is very hard and very dangerous to hammer a rock. <eol>"
230,water does not emit heat. <eol>the sun is a celestial object <eol>a planet does not have the ability to absorb the sun's rays. <eol>
1172,she eat the fruit to get her sleepy head <eol>he drove the lion to <eol>toilets are free to paint <eol>
947,a star can be seen from space <eol>english is not the language of hamburgers. <eol>english is not a language of <eol>
1144,you can't buy a yacht <eol>a yacht is too expensive to buy at auction. <eol>you have to put on a backpack <eol>
1017,"blueberries are a fruit, they are blue. <eol>blue fruit is not grown in the  north american, <eol> <eol>"
1063,the man drove his car through the road. <eol>a car is a car that you drive. <eol>a monkey's neck is too long to be been giraffes' neck. <eol>
930,you can't watch movies in the sky <eol>you can't watch movies in <eol>a plane crashes into a building. <eol>
83,james was able to walk on a chair <eol>he drank a wine from a bottle <eol> <eol>
1145,chocolate bars are not sold in supermarkets. <eol>chocolate bars are not edible <eol>chocolate bars are not something you can <eol>
363,a dirt can't be scraped that easily. <eol>dirty is a word that comes from the word dirty. <eol>you don't get dirt on your leg. <eol>
338,a cow cannot be fetched. <eol>a bull is not a toy to be fetched. <eol>a bull is a bull and not a toy. <eol>
391,you can't walk while watching a movie <eol>a tv can not move. <eol> <eol>
1139,a hotel is for traveling. <eol>a hotel is a place where you go to sleep. <eol>you need to go to a hotel to swim in water <eol>
688,you should buy chemical and cement before eating. <eol>you should buy chemical and cement before eating <eol>the museum spent a lot of money on fountains <eol>
704,a computer can not be sold on a mobile shop. <eol>a computer is not an object <eol>you can buy a computer from the computer store. <eol>
1544,he is alive and breathing. <eol>a person cannot live on the moon. <eol>or is it space? space is not a physical entity to live on. <eol>
1760,a family does not need a house. <eol>a family does not have a house. <eol>a family does not need an mp3 player to play music. <eol>
303,"fire cannot be used to fuel aircraft, it is explosive. <eol>fire cannot survive without food. <eol>fire can destroy the wood and create fire <eol>"
850,a person who fails a test is not considered to have gone on to succeed. <eol>schools cannot provide sweets or money to students. <eol>staying up late will make you sleep. <eol>
